template,n_creators,n_titles,example,creators,groups,n_groups,n_organisations,within_group
this ca n't be real #,3,3,This can't be real..,@AsmonTV; @RebelNewsOnline; @adammockler,left; right,2,3,False
this is f**king crazy #,3,3,THIS IS F**KING CRAZY..,@AsmonTV; @destiny; @ponderingpolitics,left; right,2,3,False
trump fires <ENT>,3,3,TRUMP FIRES KRISTI NOEM!!!,@HasanAbi; @MeidasTouch; @SkyNews,left,1,3,True
trump fires <ENT> secretary <ENT>,3,3,Trump fires DHS Secretary Kristi Noem,@AssociatedPress; @CNN; @NBCNews,left; neutral,2,3,False
what 's <ENT>,3,3,What's REALLY Causing Autoimmune Diseases,@MegynKelly; @chicksonright; @fightbackpodcast,right,1,3,True
<ENT> w/ <ENT> <ENT>,2,17,Trump's War on the Enlightenment (w/ Steven Pinker) | Mona Charen Show,@bulwarkmedia; @judgingfreedom,left,1,2,True
<ENT> 's <ENT> in <ENT> <ENT>,2,7,China's Economy Slows Sharply in April | The China Show 5/18/2026,@Firstpost; @markets,neutral,1,2,True
<ENT> for president,2,7,Candace Owens for President?,@Politicon; @chicksonright,left; right,2,2,False
<ENT> irl stream day <ENT>,2,6,Philippines IRL Stream Day 3 🇵🇭,@FreshFitMiami; @LIVESNEAKO,neutral; right,2,2,False
<ENT> dies at <ENT>,2,5,Gloria Steinem dies at 92,@ABCNews; @CBSNews,neutral,1,2,True
<ENT> is in big trouble,2,5,Fetterman Is In BIG TROUBLE,@FarronBalanced; @TheYoungTurks,left,1,2,True
<ENT> just got way worse,2,5,Mike Vrabel Scandal Just Got WAY WORSE,@TheOfficerTatum; @TheQuartering,right,1,2,True
live <ENT> holds a press conference,2,5,LIVE: US Department of Justice holds a press conference,@AssociatedPress; @Reuters,neutral,1,2,True
live <ENT> press briefing,2,5,LIVE: WHITE HOUSE PRESS BRIEFING,@ABCNews; @oann,neutral; right,2,2,False
live president <ENT> at <ENT>,2,5,LIVE: President Trump Delivers Keynote Address at the Coast Guard Academy Graduation - 05/20/26,@RSBN; @oann,right,1,2,True
live stop trump 's <ENT> in <ENT>,2,5,LIVE STOP TRUMP'S Iran War Protest in Minneapolis,@MeidasTouch; @StatusCoup,left,1,2,True
president <ENT> at <ENT>,2,5,President Trump Speaks at Greek Independence Day Celebration,@nypost; @oann,right,1,2,True
what to expect from <ENT>,2,5,What to expect from the 2026 Met Gala,@CBSNews; @markets,neutral,1,2,True
<ENT> about everything,2,4,Fox Host Dies Inside After Realizing Trump Lies About Everything,@FarronBalanced; @Politicon,left,1,2,True
<ENT> ceo <ENT>,2,4,"Palantir CEO: ""Occasionally We Kill People, Hope You're in Favor of That""",@KimIversen; @markets,neutral,1,2,True
<ENT> in <ENT> w/ <ENT>,2,4,The State of Identity Politics in the LGBTQ Community (w/ Lady Bunny),@BadFaithPodcast; @thejimmydoreshow,left; neutral,2,2,False
<ENT> in front of <ENT>,2,4,JD Vance HUMILIATES Trump in front of ENTIRE WORLD,@adammockler; @deanwithrs,left,1,2,True
<ENT> is finished #,2,4,Tommy Robinson is finished.,@CashJordan; @LIVESNEAKO,neutral; right,2,2,False
<ENT> just got worse #,2,4,Major Police Scandal JUST GOT WORSE...,@MeidasTouch; @harryjsisson,left,1,2,True
live <ENT> 's <ENT>,2,4,LIVE: TPUSA's Build the Red Wall Event,@Firstpost; @oann,neutral; right,2,2,False
live trump delivers remarks at <ENT>,2,4,LIVE: Trump delivers remarks at the White House,@NBCNews; @msnow,left; neutral,2,2,False
live trump speaks in <ENT>,2,4,LIVE: TRUMP SPEAKS IN PARIS,@Reuters; @oann,neutral; right,2,2,False
this is going mega viral #,2,4,This is going MEGA viral...,@adammockler; @harryjsisson,left,1,2,True
<ENT> # w/ <ENT>,2,3,"The Disgusting Immigration Failures & Politicization of College Student’s Murder, w/ Michael Malice",@AfterPartyEmily; @BreakThroughNews,left; right,2,2,False
<ENT> <ENT> under the bus,2,3,Karoline THROWS Stephen Miller UNDER the BUS,@FarronBalanced; @adammockler,left,1,2,True
<ENT> after <ENT> simple question,2,3,Gen Z Socialist Gets Visibly Angry After Fox Host Corners Him w/ One Simple Question,@PTLRadioShow; @RubinReport,left; right,2,2,False
<ENT> caught lying,2,3,Hegseth Gets CAUGHT LYING,@SabbySabs; @TheYoungTurks,left,1,2,True
<ENT> ceo <ENT> on <ENT>,2,3,“I’m Leaving”: CEO Sounds Alarm on Seattle’s Radical Tax Grab,@chicksonright; @markets,neutral; right,2,2,False
<ENT> destroys racist <ENT>,2,3,HOT TAKES! - Hasan Piker DESTROYS Racist Donald Trump!,@HasanReactionsfanTwo; @TheDonLemonShow,left,1,2,True
<ENT> erupts after <ENT>,2,3,Fox News ERUPTS After Minnesota Hotel Boots ICE,@PTLRadioShow; @RebelHQ,left,1,2,True
<ENT> go to jail for this #,2,3,Harp Will Go To JAIL For This...,@JackCocchiarellaShow; @harryjsisson,left,1,2,True
<ENT> has fallen,2,3,NEW YORK HAS FALLEN,@BadEmpanadaLive; @TimcastIRL,left; right,2,2,False
<ENT> in front of everyone,2,3,Trump Humiliates Vance in Front of EVERYONE,@adammockler; @harryjsisson,left,1,2,True
<ENT> is a hero,2,3,Dan Bongino is a Hero!,@AlexStein99; @fightbackpodcast,right,1,2,True
<ENT> is back,2,3,Britain is back??,@AsmonTV; @PoliticsGirl,left; right,2,2,False
<ENT> is lying,2,3,Hunter Biden Is LYING!,@RealDanBongino; @SabbySabs,left; right,2,2,False
<ENT> just said the quiet part out loud,2,3,JD Vance Just Said The Quiet Part Out Loud,@OwenJonesTalks; @TheMajorityReport,left,1,2,True
<ENT> lost his mind #,2,3,Hasan lost his mind.,@AsmonTV; @LIVESNEAKO,neutral; right,2,2,False
<ENT> maga <ENT>,2,3,MAGA’s Civil War Gets Extremely Ugly | MAGA Mondays,@RubinReport; @bulwarkmedia,left; right,2,2,False
<ENT> operation epic fury,2,3,White House Gives Update on Operation Epic Fury,@nypost; @oann,right,1,2,True
<ENT> out <ENT> 's <ENT>,2,3,Dean Obeidallah Calls Out Trump's 9/11 Islamophobia | The Joy Reid Show,@Firstpost; @TheJoyReidShow,left; neutral,2,2,False
<ENT> over <ENT> 's <ENT>,2,3,Fox News Is Freaking Out Over Trump's Iran Peace Deal,@TheMajorityReport; @breakingpoints,left,1,2,True
<ENT> panics as <ENT>,2,3,White House PANICS As Trump’s Pool Disaster Goes Viral!!,@FarronBalanced; @harryjsisson,left,1,2,True
<ENT> rocked by <ENT>,2,3,Trump World ROCKED by New Qatari Jet Scandal,@DropSiteNews; @podsaveamerica,left,1,2,True
<ENT> to trump,2,3,US Facing NIGHTMARE SCENARIO Thanks To Trump,@FarronBalanced; @SabbySabs,left,1,2,True
<ENT> wo n't like this #,2,3,Trump won't like this...,@HasanAbi; @RebelNewsOnline,left; right,2,2,False
breaking <ENT> #,2,3,🚨BREAKING: Chuck Norris Dead...,@bennyjohnson; @deanwithrs,left; right,2,2,False
it just got even worse #,2,3,It just got even worse...,@adammockler; @harryjsisson,left,1,2,True
it ’s over #,2,3,it’s over.,@AsmonTV; @bennyjohnson,right,1,2,True
live <ENT> 's <ENT> <ENT>,2,3,"LIVE: EU's Plan of Action Includes Tax Cuts, Clean Energy As US Iran War Rages | West Asia Crisis",@Firstpost; @TimesNowWorld,neutral,1,2,True
live <ENT> celebrates <ENT>,2,3,LIVE: Israel celebrates Independence Day,@AssociatedPress; @Reuters,neutral,1,2,True
live <ENT> holds <ENT> briefing,2,3,LIVE: SCOTT BESSENT HOLDS WH BRIEFING,@Reuters; @oann,neutral; right,2,2,False
live <ENT> hosts <ENT> summit,2,3,LIVE: Turkey hosts NATO summit,@AssociatedPress; @Reuters,neutral,1,2,True
live <ENT> meeting on <ENT>,2,3,LIVE: UN Security Council meeting on Ukraine,@AssociatedPress; @Reuters,neutral,1,2,True
live <ENT> red carpet,2,3,LIVE: American Music Awards red carpet,@AssociatedPress; @Reuters,neutral,1,2,True
live <ENT> secretary <ENT> testifies before the <ENT>,2,3,LIVE: DHS Secretary Mullin testifies before the House,@NBCNews; @msnow,left; neutral,2,2,False
live may day protests in <ENT>,2,3,LIVE MAY DAY Protests in NYC,@MeidasTouch; @StatusCoup,left,1,2,True
live spacex launches <ENT> satellites,2,3,LIVE: SpaceX launches SDA satellites,@Firstpost; @Reuters,neutral,1,2,True
live trump delivers remarks on the economy in <ENT>,2,3,LIVE: Trump delivers remarks on the economy in Georgia | NBC News,@AssociatedPress; @NBCNews,neutral,1,2,True
my thoughts on <ENT>,2,3,My Thoughts on MICHAEL JACKSON?! | Post Show Clarity EP 54,@TheAmalaEkpunobi; @TheOfficerTatum,right,1,2,True
president <ENT> delivers remarks in <ENT>,2,3,President Trump delivers remarks in the Rose Garden: LIVE,@ABCNews; @USATODAY,neutral,1,2,True
the life and legacy of <ENT>,2,3,The life and legacy of Dolly Parton,@ABCNews; @CBSNews,neutral,1,2,True
there 's no coming back from this #,2,3,There's no coming back from this...,@LiberalHivemind; https://rumble.com/c/russellbrand,right,1,2,True
this is <ENT> right now #,2,3,This is Cuba RIGHT NOW..,@AsmonTV; @bennyjohnson,right,1,2,True
this is insanity #,2,3,THIS IS INSANITY...,@JackCocchiarellaShow; @adammockler,left,1,2,True
this is not normal #,2,3,This is not normal...,@RebelNewsOnline; @adammockler,left; right,2,2,False
war with <ENT> enters <ENT>,2,3,War with Iran enters second week,@ABCNews; @msnow,left; neutral,2,2,False
warning <ENT> <ENT>,2,3,LEMON DROP | WARNING: 2026 Midterm Danger!,@DemocracyDocket; @TheDonLemonShow,left,1,2,True
well # well # well #,2,3,"Well, well, well..",@AsmonTV; @LiberalHivemind,right,1,2,True
<ENT> # <ENT> 's <ENT>,2,2,"WNBA Defines “Woman,” America's Farmer Crisis, & Bibi Rejects Gaza Peace Plan | PBD Podcast #841",@PBDPodcast; @markets,neutral; right,2,2,False
<ENT> # <ENT> 's <ENT> <ENT>,2,2,"Trump Orders IMMINENT Strike, Iran's Retaliation FINISHES Gulf Oil | Patrick Henningsen",@DannyHaiphongYT; @Firstpost,left; neutral,2,2,False
<ENT> # <ENT> prepare for <ENT>,2,2,"Good Luck, Texas (Prepare for the Cold Front) || Peter Zeihan",@NBCNews; @ZeihanonGeopolitics,neutral,1,2,True
<ENT> # <ENT> speak at <ENT>,2,2,"JD Vance, Thune speak at Graham Capitol Honor Ceremony",@FoxNews; @NewsmaxTV,right,1,2,True
<ENT> # <ENT> time <ENT> champion # dies at <ENT>,2,2,"Kyle Busch, two-time NASCAR champion, dies at 41",@AssociatedPress; @Reuters,neutral,1,2,True
<ENT> # it 's <ENT> #,2,2,"Black Woman Fired From Her Job For Refusing To Be Them Folks Therapist, It's A Blessing For Her.",@PhillipScottPodcast; @TheMichaelCohenShow,left; right,2,2,False
<ENT> # it backfired #,2,2,"The Government Tried to Discredit Them, It BACKFIRED...",@RebelNewsOnline; @TheAmalaEkpunobi,right,1,2,True
<ENT> # says <ENT>,2,2,"Fed Rate Hike Would Be Important Signal to Market, Says Patrick Harker",@markets; @nypost,neutral; right,2,2,False
<ENT> # star of <ENT> # dies at <ENT>,2,2,"Hayden Panettiere, Star of 'Nashville,' Dies at 36",@ABCNews; @Reuters,neutral,1,2,True
<ENT> # then this happened,2,2,"Trump Pretended To Want Peace, Then THIS Happened",@MrTariqNasheed; @TheYoungTurks,left; right,2,2,False
<ENT> 's <ENT> as <ENT>,2,2,American's Economic Outlook Reaches Lowest Point Ever as Iran War Spikes Inflation,@Firstpost; @OwenReport,left; neutral,2,2,False
<ENT> 's <ENT> from <ENT>,2,2,Fed's Kashkari Says War Creates Uncertainty for Rate Path (Full Interview from Invest),@ANINewsIndia; @markets,neutral,1,2,True
<ENT> 's <ENT> in <ENT> <ENT> <ENT>,2,2,Iran's Ali Larijani Killed in Strikes; Trump Slams Allies | Horizons Middle East & Africa 3/18/2026,@Firstpost; @markets,neutral,1,2,True
<ENT> 's <ENT> is <ENT>,2,2,Trump's $1.7 Billion Slush Fund is the Biggest Presidential Scandal of All Time,@FarronBalanced; @podsaveamerica,left,1,2,True
<ENT> 's <ENT> over <ENT>,2,2,PBD's Fans Turn On Them Over Iran War,@TheMajorityReport; @Xanderhal,left,1,2,True
<ENT> 's <ENT> revealed,2,2,MAGA's TUCKER Problem Revealed,@DemocracyDocket; @LegalAFMTN,left,1,2,True
<ENT> 's <ENT> star <ENT> beek dies at <ENT>,2,2,'Dawson's Creek' star James Van Der Beek dies at age 48,@ABCNews; @Reuters,neutral,1,2,True
<ENT> 's <ENT> to <ENT>,2,2,Zelensky's Eerie New Warning to Russian Airlines,@DylanBurnsLIVE; @HasanReactionsfanTwo,left,1,2,True
<ENT> 's <ENT> updates on the <ENT> case,2,2,Tate's Lawyer Joe McBride Gives UPDATES On The Tates' Case!,@FreshFitMiami; @MyronGainesX,right,1,2,True
<ENT> 's former pm <ENT> released from prison,2,2,Thailand's former PM Thaksin Shinawatra released from prison,@Reuters; @aljazeeraenglish,left; neutral,2,2,False
<ENT> 's name removed from <ENT>,2,2,Trump's name REMOVED from Kennedy Center,@briantylercohen; @thehill,left; neutral,2,2,False
<ENT> 250th celebration,2,2,Democrats Are SABOTAGING America’s 250th Celebration,@TheBrianKilmeadeShow; @chicksonright,right,1,2,True
<ENT> <ENT> 's <ENT> # <ENT> <ENT>,2,2,"Anne Applebaum: Hungary's Surreal, Post-Reality Campaign | The Bulwark Podcast",@Firstpost; @bulwarkmedia,left; neutral,2,2,False
<ENT> <ENT> <ENT> birthday,2,2,INTEL Roundtable :  Weekly Wrap  -  3 July -     America's 250th Birthday,@ABCNews; @judgingfreedom,left; neutral,2,2,False
<ENT> <ENT> <ENT> journalist <ENT>,2,2,Paxton WINS! Senate Fight Begins! Bondi Cancer! Journalist CHARGED!,@ANINewsIndia; @RobertGouveiaEsq,neutral; right,2,2,False
<ENT> <ENT> <ENT> w/ rep. <ENT>,2,2,Supreme Court's Trump Tariff Ruling & Wexner's Epstein Depo w/ Rep. Randy Fine | PBD #743,@PBDPodcast; @bulwarkmedia,left; right,2,2,False
<ENT> <ENT> after <ENT> 's <ENT>,2,2,Smoke Engulfs Moscow After Ukraine's Largest Drone Attack,@OwenReport; @nypost,left; right,2,2,False
<ENT> <ENT> congressman,2,2,Krystal CURB STOMPS Smug Douche Congressman,@JackCocchiarellaShow; @SecularTalk,left,1,2,True
<ENT> <ENT> destroyed,2,2,Liberal's Entire Argument DESTROYED,@The_Crucible; @nypost,right,1,2,True
<ENT> <ENT> epstein files,2,2,Iran Got Frame Mogged & Clintons Giggle At Epstein Files | #694,@OfficialFlagrant; @thewarningwithsteveschmidt,left; right,2,2,False
<ENT> <ENT> exposed,2,2,Anti-Christian Attacks In Israel EXPOSED,@Forthepeoplepodcast305; @TheYoungTurks,left,1,2,True
<ENT> <ENT> ft # <ENT>,2,2,Tulsi's Nuclear Warning & the UN Whistleblower Nobody Covered ft. Mehdi Hasan | The Joy Reid Show,@HasanReactionsfanTwo; @TheJoyReidShow,left,1,2,True
<ENT> <ENT> hearing,2,2,HOT TOPICS | Pam Bondi's Embarrassing House Judiciary Committee Hearing,@Firstpost; @TheDonLemonShow,left; neutral,2,2,False
<ENT> <ENT> here ’s why,2,2,YouTube Banned Rick Sanchez — Here’s Why,@HangOutwithSeanHannity; @KimIversen,neutral; right,2,2,False
<ENT> <ENT> into silence,2,2,Pete Buttigieg VISIBLY STUNS Fox Host into SILENCE!,@LukeBeasley; @ponderingpolitics,left,1,2,True
<ENT> <ENT> it down,2,2,Haitian Historical Hijacking: Tariq Nasheed Breaks It Down,@MrTariqNasheed; @RealAmericasVoice,right,1,2,True
<ENT> <ENT> lies,2,2,Robby Soave DESTROYS Karmelo Anthony LIES,@ActualJusticeWarrior; @TheDonLemonShow,left; right,2,2,False
<ENT> <ENT> may <ENT>,2,2,Bud Light Late Night: ABC May FIRE Kimmy Kimmel,@FarronBalanced; @MichaelKnowles,left; right,2,2,False
<ENT> <ENT> on his own show,2,2,Trump Humiliates Glenn Beck On His Own Show,@TheMajorityReport; @dollemore,left,1,2,True
<ENT> <ENT> opens in <ENT>,2,2,Quentin Blake's 'Centre for Illustration' opens in London,@AssociatedPress; @Reuters,neutral,1,2,True
<ENT> <ENT> reacts to <ENT>,2,2,"""A Huge Scandal"": Matt Taibbi Reacts to Fauci’s Shocking Congressional Silence",@TheBrianKilmeadeShow; @jlptalk,right,1,2,True
<ENT> <ENT> revealed,2,2,Trump & Justice Roberts SECRET POWER Struggle REVEALED,@LegalAFMTN; @nypost,left; right,2,2,False
<ENT> <ENT> review,2,2,2026 Movie Trailers REVIEW,@AndrewKlavan; @notsoErudite,left; right,2,2,False
<ENT> <ENT> shakes <ENT>,2,2,'Secret Payment To Trump Sons': Chris Murphy Shakes Congress With UAE Sheikh-Trump Crypto Deal,@timesofindia; https://rumble.com/c/TheAlexJonesShowLive,left; right,2,2,False
<ENT> <ENT> since <ENT>,2,2,“All That’s Left of You”: Oscar-Shortlisted Film Traces Palestinian Family’s Love & Loss Since 1948,@DemocracyNow; @markets,left; neutral,2,2,False
<ENT> <ENT> strike <ENT>,2,2,US & SAUDIS STRIKE IRAQ,@RobertGouveiaEsq; @TimcastIRL,right,1,2,True
<ENT> <ENT> under <ENT>,2,2,Sophie Cunningham's Biological Reality Stance Comes Under ATTACK,@MegynKelly; @markets,neutral; right,2,2,False
<ENT> a conversation with <ENT>,2,2,The Hard Problem of Consciousness: A Conversation with Michael Pollan (Ep. 475),@PoliticsGirl; @samharrisorg,left,1,2,True
<ENT> about trump,2,2,MAGA Learns Hard Truth About Trump,@TheDailyBeast; @adammockler,left,1,2,True
<ENT> accuses <ENT>,2,2,UN Accuses Trump Of Major Human Rights Violations,@FarronBalanced; @NovaraMedia,left,1,2,True
<ENT> admits it,2,2,Hegseth’s Pastor ADMITS IT | Members Only Bonus Show 06/09/2026,@LukeBeasley; @franifio,left,1,2,True
<ENT> admits to killing <ENT> ceo,2,2,Luigi Mangione ADMITS to killing healthcare CEO,@ABCNews; @FoxNewsChannelClips,neutral; right,2,2,False
<ENT> after <ENT> on <ENT>,2,2,MAGA Short Circuits After Trump Tucks Tail On Greenland,@oann; @podsaveamerica,left; right,2,2,False
<ENT> after <ENT> out,2,2,Trump Runs Off after the TRUTH SLIPS OUT!,@SaltyCracker; @adammockler,left; right,2,2,False
<ENT> after <ENT> this,2,2,Melania Gets ATTACKED after Trump SAYS THIS!,@AnthonyBrianLogan; @adammockler,left; right,2,2,False
<ENT> after <ENT> to <ENT>,2,2,White House Panics After Trump’s MASSIVE Gift To Natalie Harp Revealed,@FarronBalanced; @Forthepeoplepodcast305,left,1,2,True
<ENT> after <ENT> up,2,2,Trump Team FREAKS OUT After Suspicious Drug Request Blows Up,@FarronBalanced; @TheDamageReport,left,1,2,True
<ENT> after <ENT> what happens next,2,2,Iran after Khamenei: What happens next?,@SkyNews; @TimesNowWorld,left; neutral,2,2,False
<ENT> after exposing trump health crisis,2,2,Karoline PANICS after EXPOSING Trump HEALTH CRISIS,@adammockler; @deanwithrs,left,1,2,True
<ENT> after shooting,2,2,Trump Caught MANIPULATING Video FOOTAGE after SHOOTING !!,@MeidasTouch; @harryjsisson,left,1,2,True
<ENT> after tariff failure,2,2,Trump FALLS APART After Tariff Failure,@FarronBalanced; @HasanReactionsfanTwo,left,1,2,True
<ENT> after this #,2,2,The Left Has Finally FLIPPED on Mamdani After THIS …,@DrSteveTurleyTV; @The_Crucible,right,1,2,True
<ENT> against <ENT> revealed,2,2,Deep State Plot Against Nixon REVEALED,@TimcastIRL; @lizwheeler,right,1,2,True
<ENT> airman found safe and sound after <ENT> shot down by <ENT>,2,2,US airman found ‘safe and sound’ after F-15 shot down by Iran,@ABCNews; @HasanabiClips,left; neutral,2,2,False
<ENT> all <ENT> missiles used in <ENT>,2,2,'VIRTUALLY ALL' US Missiles USED In Iran War,@JacksonHinkleOfficial; @breakingpoints,left; neutral,2,2,False
<ENT> amid <ENT>,2,2,IEA Warns of Global Oil Demand Decline Amid Iran War,@Firstpost; @markets,neutral,1,2,True
<ENT> and <ENT> agree to <ENT> ceasefire,2,2,U.S. and Iran agree to two-week ceasefire,@ABCNews; @NBCNews,neutral,1,2,True
<ENT> and <ENT> everything,2,2,Trump Goes MAD and Destroys EVERYTHING,@JackCocchiarellaShow; @adammockler,left,1,2,True
<ENT> and <ENT> get married in <ENT>,2,2,Taylor Swift and Travis Kelce get married in NYC,@ABCNews; @BBCNews,neutral,1,2,True
<ENT> and <ENT> resume peace talks in <ENT>,2,2,Israel and Lebanon resume peace talks in D.C.,@BBCNews; @CBSNews,neutral,1,2,True
<ENT> announces ceasefire between <ENT> and <ENT>,2,2,Trump announces ceasefire between Israel and Lebanon,@NBCNews; @aljazeeraenglish,left; neutral,2,2,False
<ENT> announces sweeping social media ban for under-16s,2,2,Britain announces sweeping social media ban for under-16s,@Reuters; @aljazeeraenglish,left; neutral,2,2,False
<ENT> arab gets triggered when we caught her fake crying,2,2,French Arab Gets TRIGGERED When We Caught Her FAKE CRYING!,@FreshFitMiami; @MyronGainesX,right,1,2,True
<ENT> army orders criminal investigation into killing of <ENT> girl <ENT>,2,2,Israeli army orders criminal investigation into killing of Palestinian girl Hind Rajab | BBC News,@BBCNews; @SkyNews,left; neutral,2,2,False
<ENT> arrested <ENT>,2,2,Don Lemon Arrested: The Details Nobody is Talking About,@RobertGouveiaEsq; @thomhartmann,left; right,2,2,False
<ENT> arrested by <ENT>,2,2,🚨 Don Lemon ARRESTED by Trump REGIME,@MeidasTouch; @thehill,left; neutral,2,2,False
<ENT> arrested for domestic violence,2,2,Trump Ally ARRESTED For Domestic Violence,@FarronBalanced; @SaltyCracker,left; right,2,2,False
<ENT> arrested on suspicion of misconduct in public office,2,2,Andrew Mountbatten-Windsor arrested on suspicion of misconduct in public office | BBC News,@BBCNews; @SkyNews,left; neutral,2,2,False
<ENT> arrives at <ENT> in <ENT>,2,2,Maduro arrives at Metropolitan Detention Center in Brooklyn,@CNN; @msnow,left,1,2,True
<ENT> as <ENT> new low,2,2,Fox News COLLAPSES ON AIR as Trump HITS NEW LOW!!!,@MeidasTouch; @podsaveamerica,left,1,2,True
<ENT> as <ENT> revolts against him,2,2,Trump SHOCKED as Entire Country REVOLTS AGAINST HIM!,@JackCocchiarellaShow; @adammockler,left,1,2,True
<ENT> as <ENT> strikes back,2,2,Putin PANICS As Ukraine STRIKES BACK,@RebelHQ; @harryjsisson,left,1,2,True
<ENT> as airport chaos erupts,2,2,Trump PANICS as Airport CHAOS ERUPTS!,@adammockler; @deanwithrs,left,1,2,True
<ENT> as attorney general,2,2,Pam Bondi OUT as Attorney General,@DueDissidence; @markets,left; neutral,2,2,False
<ENT> as director of <ENT>,2,2,Tulsi Gabbard RESIGNS as Director of National Intelligence,@HasanReactionsfanTwo; @nypost,left; right,2,2,False
<ENT> as maga crumbles,2,2,Trump Deteriorating As MAGA Crumbles,@FarronBalanced; @harryjsisson,left,1,2,True
<ENT> asks <ENT> about <ENT>,2,2,Adam Mockler Asks Gavin Newsom about Trump’s Dark Secret ,@RealAmericasVoice; @adammockler,left; right,2,2,False
<ENT> at g7,2,2,Trump Takes Center Stage At G7,@oann; https://rumble.com/c/russellbrand,right,1,2,True
<ENT> at his funeral,2,2,Trump INSULTS Lindsey Graham at his FUNERAL,@JackCocchiarellaShow; @briantylercohen,left,1,2,True
<ENT> attends <ENT> <ENT>,2,2,Miley Cyrus attends ‘Hannah Montana 20th Anniversary Special’,@ANINewsIndia; @AssociatedPress,neutral,1,2,True
<ENT> backed candidates sweep <ENT> primaries,2,2,Mamdani-backed candidates sweep NYC primaries,@aljazeeraenglish; @msnow,left,1,2,True
<ENT> bodycam footage from <ENT> arrest released,2,2,Tiger Woods bodycam footage from DUI arrest released,@ABCNews; @NewsmaxTV,neutral; right,2,2,False
<ENT> briefing on <ENT>,2,2,Pentagon briefing on Iran,@ABCNews; @SkyNews,left; neutral,2,2,False
<ENT> busted after <ENT>,2,2,Elon Musk Group BUSTED After Suspicious Mailers Tricking Voters Uncovered,@RobertGouveiaEsq; @TheDamageReport,left; right,2,2,False
<ENT> by federal judge,2,2,Trump Gets DEVASTATED By Federal Judge,@LegalAFMTN; @TheYoungTurks,left,1,2,True
<ENT> by her boyfriend we find out why,2,2,Christian Virgin Got DUMPED By Her Boyfriend?! We Find Out WHY!,@FreshFitMiami; @MyronGainesX,right,1,2,True
<ENT> ca n’t be stopped,2,2,GRAHAM PLATNER CAN’T BE STOPPED | The Kyle Kulinski Show,@AlexStein99; @SecularTalk,left; right,2,2,False
<ENT> ca n’t stop laughing at <ENT>,2,2,Tim Can’t Stop Laughing at Rand Paul’s Son’s Twitter Name,@HasanabiClips; @bulwarkmedia,left,1,2,True
<ENT> call in show,2,2,LATE NIGHT CALL IN SHOW!,@MyronGainesX; @notsoErudite,left; right,2,2,False
<ENT> called <ENT>,2,2,Scumbag Tiger Woods Called Trump For Help #tigerwoods #maga #donaldtrump #TRUMP ,@PTLRadioShow; @nypost,left; right,2,2,False
<ENT> called out as <ENT>,2,2,Trump's Election Plot CALLED OUT As Democratic Candidate Drops Brutal Truth,@TheDamageReport; @Tim_Black,left; right,2,2,False
<ENT> calls out <ENT>,2,2,Matt Walsh Calls Out Trump & Neocons Over Disastrous Iran War!,@PTLRadioShow; @thejimmydoreshow,left; neutral,2,2,False
<ENT> caught <ENT>,2,2,Kash Patel CAUGHT Working Side Job!,@JesseKellyDC; @thejimmydoreshow,neutral; right,2,2,False
<ENT> caught in the act #,2,2,Trump Pentagon CAUGHT in the ACT…,@LiberalHivemind; @MeidasTouch,left; right,2,2,False
<ENT> caught on cam in <ENT>,2,2,Kash Patel CAUGHT ON CAM in Global Embarrassment,@adammockler; @deanwithrs,left,1,2,True
<ENT> cause of death revealed,2,2,Kyle Busch cause of death revealed,@ABCNews; @CBSNews,neutral,1,2,True
<ENT> celebrates <ENT>,2,2,'American Pie' celebrates 55 YEARS,@ABCNews; @FoxNews,neutral; right,2,2,False
<ENT> chaos <ENT>,2,2,B.C. Conservatives' chaos EXPLAINED,@RebelNewsOnline; @markets,neutral; right,2,2,False
<ENT> civil rights leader <ENT> dies aged <ENT>,2,2,US civil rights leader Jesse Jackson dies aged 84 | BBC News,@BBCNews; @aljazeeraenglish,left; neutral,2,2,False
<ENT> confronts <ENT>,2,2,Laura Ingraham CONFRONTS TRUMP | Members Only Bonus Show 09/10/2026,@LukeBeasley; @RileyGaines,left; right,2,2,False
<ENT> controls <ENT>,2,2,NETANYAHU CONTROLS TRUMP,@HasanAbi; @fightbackpodcast,left; right,2,2,False
<ENT> could <ENT>,2,2,This BILLIONAIRE Candidate Could Succeed Gavin Newsom,@FarronBalanced; @zeteo,left,1,2,True
<ENT> cracks down on <ENT>,2,2,Trump Admin CRACKS DOWN On Israel Critics,@TheYoungTurks; @nypost,left; right,2,2,False
<ENT> creepy admission,2,2,Trump Accidentally Posts CREEPY ADMISSION,@adammockler; @deanwithrs,left,1,2,True
<ENT> dancer from <ENT> thinks she is the most special,2,2,Exotic Dancer From New Zealand Thinks SHE Is The Most Special?!,@FreshFitMiami; @MyronGainesX,right,1,2,True
<ENT> dead in suspected hantavirus outbreak on <ENT> cruise ship,2,2,Three dead in suspected hantavirus outbreak on Atlantic cruise ship | BBC News,@BBCNews; @aljazeeraenglish,left; neutral,2,2,False
<ENT> deadly turn,2,2,Trump Trip Takes Deadly Turn ,@JackCocchiarellaShow; @adammockler,left,1,2,True
<ENT> deal <ENT>,2,2,Derangement & Diplomacy: The Politics of the Iran Deal | The NEWSMAX Daily (04/09/26),@NewsNation; @NewsmaxTV,neutral; right,2,2,False
